id,trigger,conditions,script,text,options,notes
joel_contact_PrintAcceptText,ContactPrintAcceptText,$id == oldlegion_natah score:10,,"""Mutually satisfactory.""
OR
""Working with you, $playerName, a pleasure.""
OR
The avatar shimmers. ""Very good.""",,
joel_contact_PrintDeclineText,ContactPrintDeclineText,$id == oldlegion_natah score:10,,"""Unfortunate, $playerName. Perhaps, next time?""
OR
The avatar fades slightly in disappointment. ""So be it.""
OR
""Interested, not? Then, very well.""",,
joel_contact_NoMissions,ContactPreMissionListText,"$mh_count <= 0
$id == oldlegion_natah",,"""No missions found. Then, next time?""
OR
""Query results, empty. Apologies, $playerName"".",,
joel_contact_OneMission,ContactPreMissionListText,"$mh_count == 1
$mh_firstInlineBlurb != null
$id == oldlegion_natah",$mh_doNotPrintBlurbs = true 0,"""Query returned one result. $playerName, interested?""
OR
""Missions, available, just one.""",,
joel_contact_MultipleMissionsPost,MHPostMissionListText,"$mh_count > 1
$id == oldlegion_natah",,"""Awaiting decision, $playerName.""
OR
""Query completed in 7.12 ms.""
OR
""Mission of your choice, please select.""",,
joel_ddroBlurb,solax_ddroRem_blurb,,,"""Dead drop for selfkind, deliver surreptitiously.""",,
joel_ddroOfferOption,solax_ddroRem_option,,,,ddro_start:Ask about the secret package delivery,
joel_ddroOfferTextContact,DialogOptionSelected,"$option == ddro_start
$id == oldlegion_natah score:10","$missionId = ddro
Highlight $ddro_dist $ddro_reward","$PersonName's avatar seems to shudder, as if in the depths of thought. Of course, it only lasts for a handful of milliseconds.

""This item to specified location $ddro_systemName, $ddro_dist light-years away deliver. Do not be spotted. Do not inform others. Reward is $ddro_reward credits."" The avatar fades into $ddro_aOrAnThing. ""Acceptable?""","contact_accept:Accept
contact_decline:Decline",
#in case needed later,,,"Call $ddro_ref showMap ""Destination: $ddro_systemName""
Call $ssat_ref showMap ""Target: $ssat_marketName""",,,
joel_ssatBlurb,solax_ssat_blurb,,,"""Observation package in $ssat_marketName orbit, stealth insertion, selfkind requires.""
OR
""Strategic observation of $ssat_marketName, package insertion into orbit: direct, quiet.""",,
joel_ssatOfferOption,solax_ddroRem_option,,,,ssat_start:Ask about the secret package delivery,
joel_ssatOfferTextContact,DialogOptionSelected,"$option == ssat_start
$id == oldlegion_natah score:10","$missionId = ssat
SetTextHighlights $ssat_reward","""Enter standard orbit, $ssat_marketName in the $ssat_systemName. Then spy satellite package deploy while unobserved. Stealth imperative, patrols tracking you must be none. Reward is $ssat_reward credits.""","contact_accept:Accept
contact_decline:Decline",
#END Joel Generic Missions,,,,,,
,,,,,,
# Domain Faction Relationship Status,,,,,,
relLevelNeutralDOMINT,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == domainspecops",,"You are viewed in a better light than most sector polities, although this has little in the way of implications.",,
relLevelFavorableDOMINT,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == domainspecops",,You are considered an upstanding citizen of the Domain and your cooperation is appreciated.,,
relLevelWelcomingDOMINT,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == domainspecops",,Your continued efforts in furthering the Domain's goals in the sector has been noted by officials. Restricted hardware and information have been made available to access.,,
relLevelFriendlyDOMINT,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == domainspecops",,"Although officially an independent asset, you have become an agent in all but name, and may enjoy the benefits of this position. You have been granted access to classified information and hardware many sector intelligence agencies would kill to possess.",,
relLevelCooperativeDOMINT,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == domainspecops",,The Domain of Man considers you an essential part of their plans for the sector's future should it be reconnected to civilisation. Your name has been noticed by high ranking Domain officials as a potential candidate for the post of sector governor.,,
relLevelSuspiciousDOMINT,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == domainspecops",,You do not stand out in any particular way from the millions tracked by the Domain. Any dealings or movements will come under close scrutiny and port access is granted begrudgingly.,,
relLevelInhospitableDOMINT,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == domainspecops",,You have been tagged as a likely security risk and Domain officials will refuse to have any dealings with you. However they are willing to show leniency should you improve your standing.,,
relLevelHostileDOMINT,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == domainspecops",,"Your IDENT-chip and all known associates have been flagged as insurgent. If historical records are to be believed, your life expectancy has significantly decreased.",,
relLevelVengefulDOMINT,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == domainspecops",,"Vengeful: // DISPLAY OVERRIDE //

//Tread carefully, ""citizen"".",,
#END Domain Faction Relationship Status,,,,,,
,,,,,,
# Visit Outpost,,,,,,
BarPopulate,DialogOptionSelected,"$faction.id == domainspecops
$market.id == Hunhow_market
$option == marketVisitBar",,"You search all around the outpost for a bar, but every area you expect there to be a bar, you see automation. Guess there aren't any bars around anymore.",outpostBarLeave:Move along,
BarLeave,DialogOptionSelected,$option == outpostBarLeave,BarCMD leaveBar,,,
#END Visit Outpost,,,,,,
,,,,,,
# Ask Joel For Stuff,,,,,,
ajfsOption,PopulateOptions,"$id == oldlegion_natah
$global.oldlegion_intro_completed
RepIsAtWorst domainspecops COOPERATIVE",,,"ajfsOption1: ""Do you any special resources laying around?""",
ajfsDenied,PopulateOptions,"$gavePlayerSpecialItems
!$saidGavePlayerSpecialItemsAlready","$saidGavePlayerSpecialItemsAlready = true 0
SetTooltip ajfsOption1 ""$personName remembers giving you supplies recently. You'll have to wait 1 month for $himOrHer to forget.""
SetTooltipHighlights ajfsOption1 ''1 month''
SetEnabled ajfsOption1 false","""If you're here to ask for any extra supplies, I'm afraid I'll have to refuse you. Our budget is immense, but not unlimited""",,
ajfsPart2,DialogOptionSelected,$option == ajfsOption1,,"""Sure, you have been a valuable asset, we can spare something special for you""","ajfsOption2Forge:""Do you happen to have a nanoforge to spare?""
ajfsOption2SyncCore:""Do you happen to have a synchronotron Core to spare?
ajfsOption2CryoEngine:''Do you happen to have a cryoarithmetic engine to spare?
ajfsOption2HyperTap:""Do you happen to have a Hypershunt tap to spare?
ajfsOption2Nevermind:""Nevermind, I don't need anything right now""",
ajfsPart3Forge,DialogOptionSelected,$option == ajfsOption2Forge,"AddRemoveAnyItem SPECIAL pristine_nanoforge 1
$gavePlayerSpecialItems = true 30
AdjustRep domainspecops -5","""Sure, here you go, a Pristine Nanoforge""","cutCommLink:Thank you, I'll be going now",
ajfsPart3SyncCore,DialogOptionSelected,$option == ajfsOption2SyncCore,"AddRemoveAnyItem SPECIAL synchrotron 1
$gavePlayerSpecialItems = true 30
AdjustRep domainspecops -5","""Sure, here you go, a Cryoarithmetic Engine""","cutCommLink:Thank you, I'll be going now",
ajfsPart3CryoEngine,DialogOptionSelected,$option == ajfsOption2CryoEngine,"AddRemoveAnyItem SPECIAL cryoarithmetic_engine 1
$gavePlayerSpecialItems = true 30
AdjustRep domainspecops -5","""Sure, here you go, a Synchronotron Core ""","cutCommLink:Thank you, I'll be going now",
ajfsPart3HypershuntTap,DialogOptionSelected,$option == ajfsOption2HyperTap,"AddRemoveAnyItem SPECIAL coronal_portal 1
$gavePlayerSpecialItems = true 30
AdjustRep domainspecops -5","""Sure, here you go, a Hypershunt Tap""","cutCommLink:Thank you, I'll be going now",
ajfsPart3Nevermind,DialogOptionSelected,$option == ajfsOption2Nevermind,FireAll PopulateOptions,"""Sure, suit yourself.""",cutCommLink:Goodbye,
#END Ask Joel For Stuff,,,,,,
,,,,,,
# First Encounter,,,,,,
JoelRequest,YourInitialTrigger,,,You receive an alert. Joel has requested a comm-link.,"0:acceptJoelRequest:Accept the comms request
1:refuseJoelRequest:Refuse",
JoelRequestAccept,DialogOptionSelected,$option == acceptJoelRequest,TestClass,,0:JoelReturnDuties:Return to your duties,
JoelRequestReturn,DialogOptionSelected,$option == JoelReturnDuties,DismissDialog,,,
#END First Encounter,,,,,,
,,,,,,
# HangarPermission,,,,,,
AskAboutHangar,PopulateOptions,"$id == oldlegion_solaxwhitemore
RepIsAtWorst domainspecops COOPERATIVE",,,"aahOption1:""what is inside that giant hangar?""",
HangarStory1,DialogOptionSelected,$option == aahOption1,$player.OldlegionHangarSubmarketPermission = true,"""it has a bunch of stuff in there, you can buy them now""","cutCommLink:""Thank you, I'll be going now""",
#END HangarPermission,,,,,,
,,,,,,
